serial, year, department, image, page
40,1707,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/178_1171133.jpg, http://www.artic.edu/aic/collections/artwork/497?search_no=1&index=0
41,1650,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000115/159502_1155394.jpg, http://www.artic.edu/aic/collections/artwork/53495?search_no=1&index=2
42,1700,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000115/5030_1162793.jpg, http://www.artic.edu/aic/collections/artwork/101077?search_no=1&index=4
43,1643,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000075/47067_637342.jpg, http://www.artic.edu/aic/collections/artwork/181702?search_no=1&index=1
44,1605,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000115/3684_1161583.jpg, http://www.artic.edu/aic/collections/artwork/88619?search_no=1&index=5
45,1796,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000094/5048_761999.jpg, http://www.artic.edu/aic/collections/artwork/100060?search_no=1&index=6
46,1632,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/1773_1171143.jpg, http://www.artic.edu/aic/collections/artwork/16347?search_no=1&index=7
47,1620,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000115/2427_1161193.jpg, http://www.artic.edu/aic/collections/artwork/44075?search_no=1&index=8
48,1710,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/1954_1165163.jpg, http://www.artic.edu/aic/collections/artwork/109220?search_no=1&index=9
49,1654,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000072/1975_623304.jpg, http://www.artic.edu/aic/collections/artwork/111649?search_no=1&index=3
50,1820,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000049/23453_495998.jpg, http://www.artic.edu/aic/collections/artwork/40652?search_no=1&index=0
51,1860,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000049/20010_496574.jpg, http://www.artic.edu/aic/collections/artwork/111623?search_no=1&index=2
52,1890,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000093/5313_760703.jpg, http://www.artic.edu/aic/collections/artwork/65847?search_no=1&index=3
53,1949,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000123/164238_1251458.jpg, http://www.artic.edu/aic/collections/artwork/53023?search_no=1&index=4
54,1520,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000067/3103_590788.jpg, http://www.artic.edu/aic/collections/artwork/80538?search_no=1&index=5
55,1868,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000049/23448_495950.jpg, http://www.artic.edu/aic/collections/artwork/16558?search_no=1&index=6
56,1800,14, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000049/11021_495758.jpg, http://www.artic.edu/aic/collections/artwork/84549?search_no=1&index=7
