serial, year, department, image, page
serial, year, department, image, page
, 1698, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000076/117191_644853.jpg, 111
, , 0, , 112
, , 0, , 113
, , 0, , 114
, 1664, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000026/88496_423876.jpg, 115
, , 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000026/88497_423882.jpg, 116
, , 0, , 117
, , 0, , 118
, , 0, , 119
, , 0, , 120
, , 0, , 121
, , 0, , 122
, , 0, , 123
, , 0, , 124
, , 0, , 125
, , 0, , 126
, , 0, , 127
, , 0, , 128
, 1880, 8, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000014/22474_225106.jpg, 129
, , 0, , 130
, , 0, , 131
, , 0, , 132
, , 0, , 133
, , 0, , 134
, , 0, , 135
, , 0, , 136
, , 0, , 137
, 1887, 21, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000129/171649_1321649.jpg, 138
, , 0, , 139
, , 0, , 140
, , 0, , 141
, , 0, , 142
, 1682, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000092/133117_752468.jpg, 143
, , 0, , 144
, 1662, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000036/90883_455136.jpg, 145
, , 0, , 146
, , 0, , 147
, , 0, , 148
, , 0, , 149
, , 0, , 150
, , 0, , 151
, , 0, , 152
, 1874, 21, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000121/176_1222266.jpg, 153
, , 0, , 154
, , 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000088/129186_727654.jpg, 155
, , 0, , 156
, , 0, , 157
, 500, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000001/168_356340.jpg, 158
, , 0, , 159
, , 0, , 160
, , 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000088/129182_727630.jpg, 161
, 520, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000140/169_1461466.jpg, 162
, , 0, , 163
, 460, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/61197_1168103.jpg, 164
, , 0, , 165
, 470, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000116/61209_1170693.jpg, 166
, , 0, , 167
, , 0, , 168
, , 0, , 169
, , 0, , 170
, , 0, , 171
, 550, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000089/129465_730300.jpg, 172
, , 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000113/156466_1129966.jpg, 173
, , 0, , 174
, , 0, , 175
, , 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000113/156468_1129976.jpg, 176
, 450, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000132/16454_1357520.jpg, 177
, , 0, , 178
, , 0, , 179
, , 0, , 180
, , 94, , 181
, 320, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000048/75422_323032.jpg, 182
, , 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000004/41653_361572.jpg, 183
, , 0, , 184
, 470, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000001/171_356354.jpg, 185
, , 0, , 186
, , 0, , 187
, , 0, , 188
, , 0, , 189
, , 0, , 190
, 460, 94, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000088/129183_727636.jpg, 191
, , 0, , 192
, , 0, , 193
, , 0, , 194
, , 0, , 195
, , 0, , 196
, , 0, , 197
, , 0, , 198
, , 0, , 199
, , 0, , 200
, , 0, , 201
, , 0, , 202
, , 0, , 203
, , 0, , 204
, , 0, , 205
, , 0, , 206
, , 0, , 207
, , 0, , 208
, , 0, , 209
, , 0, , 210
, , 0, , 211
, , 0, , 212
, , 0, , 213
, , 0, , 214
, , 0, , 215
, , 0, , 216
, , 0, , 217
, , 0, , 218
, , 0, , 219
, , 0, , 220
, , 0, , 221
, , 0, , 222
, , 0, , 223
, , 0, , 224
, , 0, , 225
, , 0, , 226
, , 0, , 227
, , 0, , 228
, , 0, , 229
, , 0, , 230
, , 0, , 231
, , 0, , 232
, , 0, , 233
, , 0, , 234
, , 0, , 235
, , 0, , 236
, , 0, , 237
, , 0, , 238
serial, year, department, image, page
, , 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000068/46422_592416.jpg, 4
, 1869, 21, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000125/163_1267760.jpg, 9
, 1663, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000107/146195_919625.jpg, 16
, 1763, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000109/148213_941553.jpg, 19
, 1854, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000034/151157_1063025.jpg, 20
, 1776, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000109/148215_941573.jpg, 22
, 1820, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000098/137424_824063.jpg, 23
, 1653, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000036/90893_455196.jpg, 24
, 1866, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000118/71668_1191703.jpg, 27
, 1845, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000118/71688_1191653.jpg, 28
, 1527, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000062/81214_560260.jpg, 30
, 1665, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000118/72620_1192603.jpg, 32
, 1533, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000048/96356_491927.jpg, 34
, 1693, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000074/115676_633201.jpg, 36
, 1699, 3, http://www.artic.edu/aic/collections/citi/images/standard/WebLarge/WebImg_000074/115315_631034.jpg, 38
